,location,region,lat,lon,prediction,anger,disgust,fear,joy,neutral,sadness,surprise
865,calama-0322-cl,america/santiago,-22.46667,-68.93333,0.0,0.16949476674199102,0.00350402118638152,0.45100667104125025,0.03603653311729428,0.26631471267901363,0.01577107729390258,0.057872196868993274
866,calama-0322-cl,america/santiago,-22.46667,-68.93333,1.0,0.044057510793209,0.0018274291651323,0.1741820871829986,0.0222950801253318,0.5382933020591736,0.0325682386755943,0.1867763698101043
867,calamba-4033-ph,asia/manila,14.21167,121.16528,0.0,0.11422038260739385,0.008819776153057502,0.2830328489176322,0.14819852238301798,0.307147436893784,0.043447390319966014,0.09513364423963623
868,calamba-4033-ph,asia/manila,14.21167,121.16528,1.0,0.07035731122742356,0.006025742846046376,0.3334079909814667,0.14058342025436543,0.3189360906780196,0.032013660272677616,0.09867580544802924
869,calgary-01-ca,america/edmonton,51.05011,-114.08529,0.0,0.1214074215124092,0.00453913719701701,0.4731819276040205,0.12740632545469896,0.1431848912296171,0.060534902180735845,0.06974538864414405
870,calgary-01-ca,america/edmonton,51.05011,-114.08529,1.0,0.0656101294541904,0.0028760235862781854,0.4169497210842812,0.1300271747442441,0.2816871765890607,0.034334979993664944,0.06851479319600717
871,cali-29-co,america/bogota,3.43722,-76.5225,0.0,0.12484056602232756,0.0034727887745710927,0.5499672533218841,0.07053745512406508,0.15090539055403354,0.04377928199009589,0.056497255770995895
872,cali-29-co,america/bogota,3.43722,-76.5225,1.0,0.08587581315373495,0.01798986420894613,0.5366061044006889,0.10893882807558546,0.15170834678934794,0.05308416685466428,0.04579688170407376
873,calicut-13-in,asia/kolkata,11.25,75.76667,0.0,0.11294848638762447,0.0060591167917135634,0.5012349926012412,0.1258360167256208,0.1491457445427033,0.05936739365967253,0.04540824192912506
874,calicut-13-in,asia/kolkata,11.25,75.76667,1.0,0.0770335971654276,0.0019693908786090186,0.5538548475713468,0.2012047904398059,0.08186134967872927,0.03425650030258107,0.04981956813013914
875,callao-07-pe,america/lima,-12.06667,-77.15,0.0,0.10888521782803261,0.007841776095331748,0.5809544771263903,0.09483796501278706,0.11594094625899076,0.03968903027081223,0.05185060395535937
876,callao-07-pe,america/lima,-12.06667,-77.15,1.0,0.08961868902930491,0.009028043105974147,0.5717340180859847,0.09624739884531029,0.11763030000084312,0.04462563968105832,0.07111593427425268
877,camayenne-04-gn,africa/conakry,9.535,-13.68778,0.0,0.14520585682459353,0.005261978576294079,0.45487415633214756,0.16391338655748997,0.12040986040470446,0.055021121492344005,0.05531364443603808
878,camayenne-04-gn,africa/conakry,9.535,-13.68778,1.0,0.19214263446629043,0.0024273730348795203,0.3679975479841232,0.03847627416253086,0.2664588537998497,0.08214026615023609,0.05035703796893356
879,cambridge-engc3-gb,europe/london,52.2,0.11667,0.0,0.1409524379407518,0.005245186010209889,0.42889785400036723,0.16654629884408848,0.13187070574131138,0.05278146099785162,0.0737060547481097
880,cambridge-engc3-gb,europe/london,52.2,0.11667,1.0,0.16884489540649217,0.005164344114838061,0.5059920788996572,0.09173895677305155,0.1222285596386049,0.05813334665328585,0.04789781553190241
