,location,region,lat,lon,prediction,count,percentage
505,bat'umi-04-ge,asia/tbilisi,41.64159,41.63593,1.0,5,17.86
506,batang-07-id,asia/jakarta,-6.4846,110.7083,0.0,26,41.27
507,batang-07-id,asia/jakarta,-6.4846,110.7083,1.0,37,58.73
508,batangas-4009-ph,asia/manila,13.7567,121.0584,0.0,46,53.49
509,batangas-4009-ph,asia/manila,13.7567,121.0584,1.0,40,46.51
510,bath-enga4-gb,europe/london,51.37795,-2.35907,0.0,325,78.69
511,bath-enga4-gb,europe/london,51.37795,-2.35907,1.0,88,21.31
512,batman-76-tr,europe/istanbul,37.88738,41.13221,0.0,39,72.22
513,batman-76-tr,europe/istanbul,37.88738,41.13221,1.0,15,27.78
514,batna-03-dz,africa/algiers,35.55597,6.17414,0.0,3,50.0
515,batna-03-dz,africa/algiers,35.55597,6.17414,1.0,3,50.0
516,baton rouge-la033-us,america/chicago,30.45075,-91.15455,0.0,223,79.93
517,baton rouge-la033-us,america/chicago,30.45075,-91.15455,1.0,56,20.07
518,baturaja-32-id,asia/jakarta,-4.12891,104.16695,0.0,22,42.31
519,baturaja-32-id,asia/jakarta,-4.12891,104.16695,1.0,30,57.69
520,bauchi-46-ng,africa/lagos,10.31344,9.84327,0.0,75,82.42
521,bauchi-46-ng,africa/lagos,10.31344,9.84327,1.0,16,17.58
522,bauru-27-br,america/sao_paulo,-22.31472,-49.06056,0.0,32,66.67
523,bauru-27-br,america/sao_paulo,-22.31472,-49.06056,1.0,16,33.33
524,bayamon-021-pr,america/puerto_rico,18.39856,-66.15572,0.0,177,85.1
525,bayamon-021-pr,america/puerto_rico,18.39856,-66.15572,1.0,31,14.9
526,bayonne-9764-fr,europe/paris,43.48333,-1.48333,0.0,305,67.93
527,bayonne-9764-fr,europe/paris,43.48333,-1.48333,1.0,144,32.07
528,bayugan-1303-ph,asia/manila,8.75611,125.7675,0.0,1,100.0
529,beaumont-tx245-us,america/chicago,30.08605,-94.10185,0.0,34,58.62
530,beaumont-tx245-us,america/chicago,30.08605,-94.10185,1.0,24,41.38
531,beauvais-b660-fr,europe/paris,49.43333,2.08333,0.0,151,67.11
532,beauvais-b660-fr,europe/paris,49.43333,2.08333,1.0,74,32.89
533,beavercreek-oh057-us,america/new_york,39.70923,-84.06327,0.0,35,71.43
534,beavercreek-oh057-us,america/new_york,39.70923,-84.06327,1.0,14,28.57
535,beawar-24-in,asia/kolkata,26.10119,74.32028,0.0,1,50.0
536,beawar-24-in,asia/kolkata,26.10119,74.32028,1.0,1,50.0
537,bechar-38-dz,africa/algiers,31.61667,-2.21667,0.0,164,67.21
538,bechar-38-dz,africa/algiers,31.61667,-2.21667,1.0,80,32.79
539,bedford-engz5-gb,europe/london,52.13459,-0.46632,0.0,192,80.67
540,bedford-engz5-gb,europe/london,52.13459,-0.46632,1.0,46,19.33
541,beersheba-01-il,asia/jerusalem,31.25181,34.7913,0.0,153,62.2
542,beersheba-01-il,asia/jerusalem,31.25181,34.7913,1.0,93,37.8
543,behbahan-15-ir,asia/tehran,30.5959,50.2417,0.0,3,37.5
544,behbahan-15-ir,asia/tehran,30.5959,50.2417,1.0,5,62.5
545,beijing-22-cn,asia/shanghai,39.9075,116.39723,0.0,236,69.62
546,beijing-22-cn,asia/shanghai,39.9075,116.39723,1.0,103,30.38
547,beirut-04-lb,asia/beirut,33.88894,35.49442,0.0,1476,76.2
548,beirut-04-lb,asia/beirut,33.88894,35.49442,1.0,461,23.8
549,bejaia-18-dz,africa/algiers,36.75587,5.08433,0.0,6,27.27
550,bejaia-18-dz,africa/algiers,36.75587,5.08433,1.0,16,72.73
551,bekasi-30-id,asia/jakarta,-6.2349,106.9896,0.0,1330,47.57
552,bekasi-30-id,asia/jakarta,-6.2349,106.9896,1.0,1466,52.43
553,bekescsaba-03-hu,europe/budapest,46.68333,21.1,0.0,2,100.0
554,belem-16-br,america/belem,-1.45583,-48.50444,0.0,669,87.11
555,belem-16-br,america/belem,-1.45583,-48.50444,1.0,99,12.89
556,belfast-nirr3-gb,europe/london,54.58333,-5.93333,0.0,1523,71.23
557,belfast-nirr3-gb,europe/london,54.58333,-5.93333,1.0,615,28.77
558,belgaum-19-in,asia/kolkata,15.85212,74.50447,0.0,4,57.14
559,belgaum-19-in,asia/kolkata,15.85212,74.50447,1.0,3,42.86
560,belgrade-se-rs,europe/belgrade,44.80401,20.46513,0.0,368,17.52
561,belgrade-se-rs,europe/belgrade,44.80401,20.46513,1.0,1732,82.48
562,bellary-19-in,asia/kolkata,15.15,76.93333,0.0,1,100.0
563,belleville-08-ca,america/toronto,44.17876,-77.37053,0.0,11,73.33
564,belleville-08-ca,america/toronto,44.17876,-77.37053,1.0,4,26.67
565,belleville-il163-us,america/chicago,38.52005,-89.98399,0.0,69,81.18
566,belleville-il163-us,america/chicago,38.52005,-89.98399,1.0,16,18.82
567,belo horizonte-15-br,america/sao_paulo,-19.92083,-43.93778,0.0,2194,79.96
568,belo horizonte-15-br,america/sao_paulo,-19.92083,-43.93778,1.0,550,20.04
